100; 2848; 1344.09
200; 11386.9; 5531.82
300; 25547.3; 12530.4
400; 44298.6; 21824
500; 70232.3; 34708.8
600; 98886.3; 48954
700; 134629; 66744.3
800; 178207; 88450.8
900; 223742; 111137
1000; 275544; 136956
1100; 331709; 164957
1200; 397167; 197604
1300; 468455; 233166
1400; 540546; 269130
1500; 610676; 304113
1600; 702722; 350054
1700; 787142; 392182
1800; 884325; 440692
1900; 993703; 495299
2000; 1.08843e+06; 542579
2100; 1.20348e+06; 600023
2200; 1.3215e+06; 658952
2300; 1.43941e+06; 717827
2400; 1.56418e+06; 780129
2500; 1.72391e+06; 859911
2600; 1.84724e+06; 921496
2700; 1.99198e+06; 993783
2800; 2.16438e+06; 1.0799e+06
2900; 2.30121e+06; 1.14823e+06
3000; 2.43595e+06; 1.21552e+06
3100; 2.61744e+06; 1.30619e+06
3200; 2.7806e+06; 1.38768e+06
3300; 2.97233e+06; 1.48347e+06
3400; 3.17624e+06; 1.58534e+06
3500; 3.36915e+06; 1.68171e+06
3600; 3.52372e+06; 1.75892e+06
3700; 3.75513e+06; 1.87454e+06
3800; 3.92531e+06; 1.95955e+06
3900; 4.16678e+06; 2.0802e+06
4000; 4.34926e+06; 2.17136e+06
4100; 4.57946e+06; 2.28638e+06
4200; 4.82837e+06; 2.41075e+06
4300; 5.04702e+06; 2.51999e+06
4400; 5.32243e+06; 2.65761e+06
4500; 5.54809e+06; 2.77036e+06
4600; 5.79388e+06; 2.89318e+06
4700; 6.03654e+06; 3.01443e+06
4800; 6.31859e+06; 3.15537e+06
4900; 6.49437e+06; 3.24318e+06
5000; 6.88336e+06; 3.43759e+06
5100; 7.08879e+06; 3.54023e+06
5200; 7.36651e+06; 3.679e+06
5300; 7.66797e+06; 3.82965e+06
5400; 7.96379e+06; 3.97748e+06
5500; 8.29997e+06; 4.14549e+06
5600; 8.54923e+06; 4.27003e+06
5700; 8.84871e+06; 4.41969e+06
5800; 9.14959e+06; 4.57005e+06
5900; 9.47761e+06; 4.73398e+06
6000; 9.85149e+06; 4.92084e+06
6100; 1.01871e+07; 5.08855e+06
6200; 1.04937e+07; 5.24178e+06
6300; 1.09089e+07; 5.44931e+06
6400; 1.12392e+07; 5.61435e+06
6500; 1.1529e+07; 5.75916e+06
6600; 1.18385e+07; 5.91386e+06
6700; 1.22653e+07; 6.12715e+06
6800; 1.26247e+07; 6.3068e+06
6900; 1.3031e+07; 6.50984e+06
7000; 1.33432e+07; 6.66586e+06
7100; 1.37118e+07; 6.8501e+06
7200; 1.41502e+07; 7.06923e+06
7300; 1.45743e+07; 7.28117e+06
7400; 1.49429e+07; 7.4654e+06
7500; 1.54049e+07; 7.6963e+06
7600; 1.57675e+07; 7.87752e+06
7700; 1.61013e+07; 8.04437e+06
7800; 1.65028e+07; 8.24502e+06
7900; 1.70803e+07; 8.5337e+06
8000; 1.74497e+07; 8.71831e+06
8100; 1.80066e+07; 8.99667e+06
8200; 1.83863e+07; 9.18642e+06
8300; 1.87516e+07; 9.36903e+06
8400; 1.92124e+07; 9.59932e+06
8500; 1.96869e+07; 9.83648e+06
8600; 2.00698e+07; 1.00279e+07
8700; 2.06053e+07; 1.02955e+07
8800; 2.10875e+07; 1.05365e+07
8900; 2.15543e+07; 1.07699e+07
9000; 2.20839e+07; 1.10346e+07
9100; 2.27219e+07; 1.13535e+07
9200; 2.30462e+07; 1.15156e+07
9300; 2.36491e+07; 1.18169e+07
9400; 2.41004e+07; 1.20425e+07
9500; 2.47563e+07; 1.23704e+07
9600; 2.50383e+07; 1.25113e+07
9700; 2.56159e+07; 1.28e+07
9800; 2.62802e+07; 1.31321e+07
9900; 2.68269e+07; 1.34054e+07
10000; 2.7382e+07; 1.36828e+07
